PLAYER_NAME	FIRST_DAY	DURATION	STAGE	MATCH	MAP	TEAM	TEAM_NAME	TEAM_DURATION	TEAMMATE	FIRST_WIN	FIRST_WIN_TEAM	FIRST_WIN_MAP	MAP_DUPLICATE	MOST_MAP	HERO	MOST_HERO	HOUR	HERO_STAGE1	HERO_STAGE2	HERO_STAGE3	KILL	DATE_KILL	TEAM_KILL	MAP_KILL	COUNT_KILL	KILL_PLAYER	DEATH	DATE_DEATH	TEAM_DEATH	MAP_DEATH	COUNT_DEATH	DEATH_PLAYER	WORLD_TIME	WORLD_TEAM	WORLD_RESULT	LAST_DATE	LAST_TEAM	TEAM_TOTAL
800	9月6日	10	1	10	37	1	YNB ESPORTS	387.3	ALPHARI, BLX, SARA, WH4LE	9月6日	MILK TEA	萨摩亚	10	伊利奥斯 直布罗陀 苏拉瓦萨	6	破坏球	139.0			破坏球	261	9月27日	BOOM	新皇后街	16	EILEEN	193	10月10日	ONCE AGAIN	国王大道	12	GUXUE				10月12日	MILK TEA	YNB ESPORTS
AESTER	3月28日	7	2	7	23	1	TEAM XX	224.2	ARGON	3月28日	SUPER LEVI	萨摩亚	12	埃斯佩兰萨	5	安娜	102.0	朱诺	安娜		41	5月24日	ZONES	新渣客城	4	PRIDE REMAKER	165	5月24日	ZONES	新渣客城	17	BELOSREA				5月31日	ROC ESPORTS	TEAM XX
AIDEN	9月6日	8	1	8	27	1	ZONES	299.5	DOX, WYA	9月6日	BOOM	伊利奥斯	10	直布罗陀	6	卢西奥	113.4			卢西奥	88	9月14日	MDY	直布罗陀	10	ALPHARI M1NUT2	172	10月4日	YNB ESPORTS	苏拉瓦萨	12	800 WH4LE				10月11日	YNB ESPORTS	ZONES
AKIE	5月24日	8	1	8	30	1	LITTLE SHEEP	312.4	ALPHARI, SKYSHOW	5月24日	HOMIE E	皇家赛道	11	皇家赛道	7	奥丽莎	174.0		奥丽莎		200	5月24日	HOMIE E	皇家赛道	16	KYO	181	6月8日	ZONES	皇家赛道	11	MENG				6月28日	MILK TEA	LITTLE SHEEP
ALPHARI	3月27日	24	3	24	88	2	LITTLE SHEEP	532.5	SARA, WH4LE	3月27日	SUPER LEVI	萨摩亚	21	伊利奥斯	7	猎空	444.4	源氏	猎空	猎空	718	4月4日	BLADE	暴雪世界	18	PRIDE	543	4月4日	BLADE	66号公路	14	PRIDE				10月12日	MILK TEA	LITTLE SHEEP和YNB ESPORTS
ANGER	9月7日	7	1	7	22	1	MDY	211.1	M1NUT2	9月14日	ZONES	伊利奥斯	9	伊利奥斯 苏拉瓦萨	4	猎空	135.4			猎空	139	9月14日	ZONES	伊利奥斯	17	PRIDE WYA	147	9月14日	ZONES	阿特利斯	14	PRIDE				10月5日	BOOM	MDY
APR1TA	3月30日	5	3	5	8	1	ONCE AGAIN	75.0	MEW, MMONK	3月30日	SUPER LEVI	苏拉瓦萨	5	伊利奥斯 苏拉瓦萨 阿特利斯	1	猎空	67.9	猎空	猎空	猎空	73	9月14日	YNB ESPORTS	阿特利斯	14	ALPHARI SARA SEA	25	5月25日	MILK TEA	苏拉瓦萨	7	JEREMY WH4LE				9月14日	YNB ESPORTS	ONCE AGAIN
ARGON	3月28日	7	2	7	23	1	TEAM XX	224.2	AESTER	3月28日	SUPER LEVI	萨摩亚	12	埃斯佩兰萨	5	猎空	139.8	猎空	猎空		142	5月24日	ZONES	新渣客城	17	KANEKI PARD0N WYA	133	5月24日	ZONES	新渣客城	10	REMAKER				5月31日	ROC ESPORTS	TEAM XX
BELIEF	9月13日	4	1	4	9	1	BOOM	79.0	FEIYANG, TAIMOUREN	9月13日	ROC ESPORTS	苏拉瓦萨	6	苏拉瓦萨	6	安娜	23.1			安娜	17	10月5日	MDY	苏拉瓦萨	4	BELOSREA	62	9月13日	ROC ESPORTS	直布罗陀	9	BELOSREA				10月5日	MDY	BOOM
BELOSREA	3月27日	27	3	27	100	1	ROC ESPORTS	1095.5	LENGSA	3月27日	TEAM EQUAL	漓江塔	22	苏拉瓦萨	10	温斯顿	332.5	温斯顿	奥丽莎	破坏球	845	5月24日	TEAM CC	好莱坞	21	FARWAY2025 PINEAPPLE	486	6月28日	ONCE AGAIN	皇家赛道	16	PINEAPPLE	1	VARREL	16强	10月11日	MILK TEA	ROC ESPORTS
BILIDENG	5月24日	24	2	26	71	1	TEAM CC	788.9	FARWAY2025, KANEKI, PINEAPPLE	5月24日	ROC ESPORTS	鲁纳塞彼	18	皇家赛道	7	骇灾	216.2		奥丽莎	骇灾	550	9月13日	MILK TEA	萨摩亚	21	SHY	363	10月11日	ONCE AGAIN	直布罗陀	13	LEAVE	2	GEEKAY ESPORTS	12强	11月28日	ONCE AGAIN	TEAM CC
